code,term
111458008,Postpartum venous thrombosis
156264001,Obstetric venous problems (& [deep vein thrombosis] or [varicose vein])
156268003,Antenatal deep vein thrombosis
156269006,Postnatal deep vein thrombosis
200231004,Antenatal deep vein thrombosis unspecified
200232006,Antenatal deep vein thrombosis - delivered
200233001,Antenatal deep vein thrombosis with antenatal complication
200234007,Antenatal deep vein thrombosis NOS
200235008,DVT: [postnatal] or [obstetric phlegmasia alba dolens]
200236009,Postnatal deep vein thrombosis unspecified
200237000,Postnatal deep vein thrombosis - delivered with postnatal complication
200238005,Postnatal deep vein thrombosis with postnatal complication
200239002,Postnatal deep vein thrombosis NOS
200258006,Obstetric cerebral venous thrombosis
200259003,Cerebral venous thrombosis in pregnancy
200260008,Cerebral venous thrombosis in the puerperium
200274001,"(Venous complication of pregnancy, unspecified) or (gestational [phlebitis] or [phlebopathy] or [thrombosis] NOS)"
200275000,(Venous complication in the puerperium unspecified) or (puerperal [phlebitis] or [phlebopathy] or [thrombosis] NOS)
267361004,Obstetric venous problems (& [deep vein thrombosis] or [varicose vein])
594071000000100,Postnatal deep vein thrombosis NOS
605811000000108,Antenatal deep vein thrombosis unspecified
615861000000108,Antenatal deep vein thrombosis NOS
615871000000101,Postnatal deep vein thrombosis unspecified
63795001,Thrombosis of intracranial venous sinus of pregnancy AND/OR puerperium
702374000,Neonatal noninfectious cerebral venous sinus thrombosis
84216001,Cerebral venous thrombosis of pregnancy AND/OR puerperium
